Date,Material,Count
1101,metal->bronze,2
1401,metal->iron,2
1401,metal->brass,1
1401,metal->bronze,2
1499,metal->iron,1
1500,metal->bronze,1
1500,metal->iron,1
1500,wood,1
1501,metal->iron,7
1501,metal->bronze,3
1600,metal,1
1601,wood,1
1601,metal->iron,8
1601,metal->bronze,8
1601,wood->,1
1650,wood->pear,1
1650,metal->brass,1
1675,metal->brass,2
1675,glass,1
1675,wood->mahogany,1
1700,wood->,2
1700,metal->brass,3
1700,metal->iron,1
1700,metal,1
1700,ceramic->porcelain - possible,1
1700,metal->pewter,2
1700,metal->steel,1
1700,metal->,1
1700,skin->leather,1
1700,ceramic->pottery,2
1701,metal->iron,15
1701,wood,7
1701,metal->bronze,13
1701,metal,2
1701,metal->brass,1
1701,wood->,3
1711,paper,1
1719,metal->brass,1
1719,wood,1
1719,fibre,1
1725,wood,1
1725,metal,1
1725,glass,1
1725,wood->mahogany,1
1725,wood->boxwood,1
1736,metal,1
1736,glass,1
1740,metal->brass,1
1740,metal->lead,2
1740,metal->iron - possible,2
1740,wood,2
1740,glass,1
1740,metal->brass - possible,1
1740,metal,3
1750,wood->,1
1750,glass->,1
1750,fibre->felt,1
1750,ceramic->pottery,1
1750,wood,2
1750,metal,1
1757,paper,1
1765,stone->limestone,1
1765,wood,1
1765,metal,1
1766,wood->mahogany,1
1766,wood->boxwood,1
1766,metal->brass,1
1766,glass->,1
1766,bone->ivory,1
1770,wood->,1
1770,metal->steel,1
1770,metal->brass,1
1775,wood,2
1775,metal,2
1775,glass,1
1775,metal->brass,1
1780,metal->steel,1
1780,metal->,1
1780,metal->brass,2
1780,wood,2
1780,wood->mahogany,1
1780,fibre->velvet,1
1783,wood->,2
1783,metal->steel - possible,2
1790,metal->brass,1
1790,glass->,1
1790,bone->ivory,1
1795,paper->cardboard,1
1795,synthetic->plastic,1
1795,metal->brass,5
1796,metal->brass,3
1799,wood->,1
1799,metal->brass,1
1799,bone->ivory,1
1800,wood->,11
1800,skin->leather,3
1800,metal,6
1800,metal->brass,10
1800,metal->cast-iron,4
1800,wood,9
1800,metal->silver,1
1800,shell->turtle,1
1800,paper->,7
1800,glass->enamel,1
1800,metal->steel,7
1800,wood->walnut,1
1800,stone->marble,1
1800,glass,16
1800,synthetic,2
1800,metal->iron,4
1800,resin->rubber,1
1800,ceramic->porcelain,1
1800,resin->ebonite,1
1800,metal->bronze,1
1800,metal->steel - possible,4
1800,metal->,6
1800,bone->ivory,1
1800,metal->pewter,3
1800,glass->,1
1800,wood->mahogany,3
1800,fibre->silk,1
1800,paper,3
1800,fibre,3
1800,metal->stainless steel,1
1800,wood->maple - possible,1
1800,composite->ink,2
1800,skin->lizard,1
1800,skin->snake,1
1800,wood->ebony - possible,2
1800,bone,3
1800,fibre - possible->linen - possible,1
1800,fibre - possible,1
1800,metal->nickel - possible,3
1800,metal->brass - possible,1
1800,fibre->canvas - possible,1
1800,fibre->felt - possible,1
1800,fibre->wool - possible,1
1800,fibre->velvet,1
1800,fibre->cotton - possible,1
1800,wood->hickory - possible,1
1800,stone,1
1800,stone->,1
1800,metal->bronze - possible,1
1801,wood,14
1801,glass,1
1801,metal->iron,19
1801,metal->brass,15
1801,wood->,10
1801,metal->steel,2
1801,metal->bronze,1
1801,metal,8
1801,wood->rosewood,2
1801,paper->,1
1801,composite->ink,1
1804,wood,2
1804,metal,1
1805,wood,1
1805,metal,1
1805,fibre,1
1806,wood,1
1806,metal,1
1809,metal,1
1810,metal->iron,1
1810,wood,2
1810,paper->,1
1810,composite->ink,1
1810,metal->brass,1
1810,metal->silver,1
1810,glass->,1
1810,animal->hair,1
1813,metal,1
1813,glass,1
1814,metal->bronze,1
1814,fibre->silk,1
1814,metal->steel,1
1818,wood->,2
1818,metal->iron,1
1818,metal->,1
1818,skin->leather,1
1819,paper,30
1819,wood,9
1819,metal,10
1819,glass,4
1819,synthetic,2
1820,wood->,4
1820,metal->iron,3
1820,metal->brass,16
1820,glass->,3
1820,fibre->velvet,1
1820,wood->pine,1
1820,glass,6
1820,metal,2
1820,metal->,1
1820,skin->leather - possible,1
1820,wood->mahogany,2
1820,fibre->felt,1
1820,metal->steel,1
1820,bone->ivory,1
1820,stone - possible->mica - possible,1
1820,fibre->,1
1820,paper->card stock,1
1821,paper,1
1821,metal->cast-iron,1
