,Date,Material,Count
0,1101,metal->bronze,2
1,1401,metal->iron,2
2,1401,metal->brass,1
3,1401,metal->bronze,2
4,1499,metal->iron,1
5,1500,metal->bronze,1
6,1500,metal->iron,1
7,1500,wood,1
8,1501,metal->iron,7
9,1501,metal->bronze,3
10,1600,metal,1
11,1601,wood,1
12,1601,metal->iron,8
13,1601,metal->bronze,8
14,1601,wood->,1
15,1650,wood->pear,1
16,1650,metal->brass,1
17,1675,metal->brass,2
18,1675,glass,1
19,1675,wood->mahogany,1
20,1700,wood->,2
21,1700,metal->brass,3
22,1700,metal->iron,1
23,1700,metal,1
24,1700,ceramic->porcelain - possible,1
25,1700,metal->pewter,2
26,1700,metal->steel,1
27,1700,metal->,1
28,1700,skin->leather,1
29,1700,ceramic->pottery,2
30,1701,metal->iron,15
31,1701,wood,7
32,1701,metal->bronze,13
33,1701,metal,2
34,1701,metal->brass,1
35,1701,wood->,3
36,1711,paper,1
37,1719,metal->brass,1
38,1719,wood,1
39,1719,fibre,1
40,1725,wood,1
41,1725,metal,1
42,1725,glass,1
43,1725,wood->mahogany,1
44,1725,wood->boxwood,1
45,1736,metal,1
46,1736,glass,1
47,1740,metal->brass,1
48,1740,metal->lead,2
49,1740,metal->iron - possible,2
50,1740,wood,2
51,1740,glass,1
52,1740,metal->brass - possible,1
53,1740,metal,3
54,1750,wood->,1
55,1750,glass->,1
56,1750,fibre->felt,1
57,1750,ceramic->pottery,1
58,1750,wood,2
59,1750,metal,1
60,1757,paper,1
61,1765,stone->limestone,1
62,1765,wood,1
63,1765,metal,1
64,1766,wood->mahogany,1
65,1766,wood->boxwood,1
66,1766,metal->brass,1
67,1766,glass->,1
68,1766,bone->ivory,1
69,1770,wood->,1
70,1770,metal->steel,1
71,1770,metal->brass,1
72,1775,wood,2
73,1775,metal,2
74,1775,glass,1
75,1775,metal->brass,1
76,1780,metal->steel,1
77,1780,metal->,1
78,1780,metal->brass,2
79,1780,wood,2
80,1780,wood->mahogany,1
81,1780,fibre->velvet,1
82,1783,wood->,2
83,1783,metal->steel - possible,2
84,1790,metal->brass,1
85,1790,glass->,1
86,1790,bone->ivory,1
87,1795,paper->cardboard,1
88,1795,synthetic->plastic,1
89,1795,metal->brass,5
90,1796,metal->brass,3
91,1799,wood->,1
92,1799,metal->brass,1
93,1799,bone->ivory,1
94,1800,wood->,11
95,1800,skin->leather,3
96,1800,metal,6
97,1800,metal->brass,10
98,1800,metal->cast-iron,4
99,1800,wood,9
100,1800,metal->silver,1
101,1800,shell->turtle,1
102,1800,paper->,7
103,1800,glass->enamel,1
104,1800,metal->steel,7
105,1800,wood->walnut,1
106,1800,stone->marble,1
107,1800,glass,16
108,1800,synthetic,2
109,1800,metal->iron,4
110,1800,resin->rubber,1
111,1800,ceramic->porcelain,1
112,1800,resin->ebonite,1
113,1800,metal->bronze,1
114,1800,metal->steel - possible,4
115,1800,metal->,6
116,1800,bone->ivory,1
117,1800,metal->pewter,3
118,1800,glass->,1
119,1800,wood->mahogany,3
120,1800,fibre->silk,1
121,1800,paper,3
122,1800,fibre,3
123,1800,metal->stainless steel,1
124,1800,wood->maple - possible,1
125,1800,composite->ink,2
126,1800,skin->lizard,1
127,1800,skin->snake,1
128,1800,wood->ebony - possible,2
129,1800,bone,3
130,1800,fibre - possible->linen - possible,1
131,1800,fibre - possible,1
132,1800,metal->nickel - possible,3
133,1800,metal->brass - possible,1
134,1800,fibre->canvas - possible,1
135,1800,fibre->felt - possible,1
136,1800,fibre->wool - possible,1
137,1800,fibre->velvet,1
138,1800,fibre->cotton - possible,1
139,1800,wood->hickory - possible,1
140,1800,stone,1
141,1800,stone->,1
142,1800,metal->bronze - possible,1
143,1801,wood,14
144,1801,glass,1
145,1801,metal->iron,19
146,1801,metal->brass,15
147,1801,wood->,10
148,1801,metal->steel,2
149,1801,metal->bronze,1
150,1801,metal,8
151,1801,wood->rosewood,2
152,1801,paper->,1
153,1801,composite->ink,1
154,1804,wood,2
155,1804,metal,1
156,1805,wood,1
157,1805,metal,1
158,1805,fibre,1
159,1806,wood,1
160,1806,metal,1
161,1809,metal,1
162,1810,metal->iron,1
163,1810,wood,2
164,1810,paper->,1
165,1810,composite->ink,1
166,1810,metal->brass,1
167,1810,metal->silver,1
168,1810,glass->,1
169,1810,animal->hair,1
170,1813,metal,1
171,1813,glass,1
172,1814,metal->bronze,1
173,1814,fibre->silk,1
174,1814,metal->steel,1
175,1818,wood->,2
176,1818,metal->iron,1
177,1818,metal->,1
178,1818,skin->leather,1
179,1819,paper,30
180,1819,wood,9
181,1819,metal,10
182,1819,glass,4
183,1819,synthetic,2
184,1820,wood->,4
185,1820,metal->iron,3
186,1820,metal->brass,16
187,1820,glass->,3
188,1820,fibre->velvet,1
189,1820,wood->pine,1
190,1820,glass,6
191,1820,metal,2
192,1820,metal->,1
193,1820,skin->leather - possible,1
194,1820,wood->mahogany,2
195,1820,fibre->felt,1
196,1820,metal->steel,1
197,1820,bone->ivory,1
198,1820,stone - possible->mica - possible,1
199,1820,fibre->,1
200,1820,paper->card stock,1
201,1821,paper,1
202,1821,metal->cast-iron,1
203,1821,wood->,1
204,1821,metal->brass,1
205,1821,glass,1
206,1821,metal,1
207,1822,metal->steel,1
208,1822,glass,1
209,1823,metal,1
210,1823,metal->iron,1
211,1823,wood,1
212,1824,ceramic->,1
213,1824,metal->lead,1
214,1824,metal,1
215,1825,,2
216,1825,wood->,2
217,1825,metal->brass,8
218,1825,wood->hickory,1
219,1825,metal,5
220,1825,fibre->,1
221,1825,fibre->silk,1
222,1825,wood,1
223,1825,glass->,1
224,1825,skin->chamois,1
225,1825,metal->copper,1
226,1825,metal->steel,1
227,1825,fibre->velvet,4
228,1825,wood->mahogany,1
229,1825,metal->pewter,1
230,1825,wood->ebony - possible,7
231,1825,metal->steel - possible,12
232,1825,resin->gutta-percha - possible,1
233,1825,synthetic->French ivory,1
234,1825,fibre,2
235,1825,fibre->silk - possible,1
236,1825,resin->wax,1
237,1825,metal->,1
238,1825,metal->nickel - possible,1
239,1825,synthetic->celluloid - possible,1
240,1825,wood->walnut,2
241,1825,paper,2
242,1825,wood->pine - possible,1
243,1826,metal->,7
244,1826,wood->hickory,7
245,1826,metal,10
246,1827,metal->cast-iron,1
247,1827,metal->steel,1
248,1829,wood->,4
249,1829,metal->iron,1
250,1829,metal,2
251,1829,wood,7
252,1829,fibre,2
253,1829,synthetic,1
254,1829,glass,1
255,1829,bone - possible,1
256,1829,metal->brass,11
257,1829,synthetic - possible->,1
258,1829,bone - possible->ivory - possible,1
259,1829,glass->,1
260,1829,metal->mercury,1
261,1829,metal->brass - possible,1
262,1829,metal->,2
263,1829,fibre->velvet,1
264,1829,synthetic->ivoride - possible,1
265,1829,wood->boxwood,1
266,1829,wood->apple - possible,1
267,1830,,1
268,1830,wood,1
269,1830,metal,2
270,1830,metal->brass,9
271,1830,wood->walnut,1
272,1830,glass,8
273,1830,wood->beech,8
274,1830,metal->steel,14
275,1830,wood->beech - possible,1
276,1830,metal->iron,5
277,1830,wood->,9
278,1830,wood->oak,1
279,1830,glass->,2
280,1830,wood->ebony,1
281,1830,wood->mahogany,2
282,1830,fibre->velvet,1
283,1830,wood->cedar,1
284,1830,resin->rubber,1
285,1830,metal->silver,1
286,1830,ceramic->porcelain,1
287,1830,metal->pewter,1
288,1830,metal->,4
289,1830,metal->steel - possible,1
290,1830,fibre->wool - possible,1
291,1830,fibre->,1
292,1830,paper,1
293,1830,metal->silver - possible,3
294,1830,skin->leather,2
295,1830,paper->,1
296,1830,fibre->velvet - possible,2
297,1830,->,1
298,1831,wood->maple,1
299,1831,metal->steel,1
300,1831,metal->,2
301,1831,metal->mercury,1
302,1831,glass->,1
303,1831,fibre->cotton - possible,1
304,1831,bone->ivory,1
305,1831,wood->,1
306,1831,skin->leather,1
307,1831,fibre->silk,1
308,1831,fibre - possible,1
309,1832,metal->brass,2
310,1832,wood->mahogany,1
311,1832,glass->,1
312,1832,bone->ivory,1
313,1833,paper->,1
314,1833,skin->leather,2
315,1833,wood->,1
316,1833,metal->steel,1
317,1834,metal->cast-iron,1
318,1834,wood,1
319,1834,metal,1
320,1834,fibre,1
321,1834,metal->brass,1
322,1834,glass,1
323,1835,metal->steel,1
324,1835,wood,2
325,1835,metal,1
326,1835,glass,1
327,1835,metal->iron,1
328,1835,wood->lignum vitae,1
329,1837,metal->cast-iron,1
330,1837,wood->,1
331,1837,skin->leather,1
332,1837,metal->brass,5
333,1837,metal->steel,1
334,1837,wood,1
335,1837,paper,1
336,1837,fibre,1
337,1837,metal,1
338,1838,metal->,2
339,1838,wood->,1
340,1838,resin->rubber,2
341,1838,metal->iron,1
342,1839,metal->copper,6
343,1839,metal->silver,2
344,1839,metal->tin,3
345,1839,metal->brass,5
346,1839,skin->leather,4
347,1839,glass->,5
348,1839,paper->,3
349,1839,fibre->satin,2
350,1839,fibre->velvet,2
351,1839,metal->mercury,1
352,1839,glass,1
353,1839,synthetic,1
354,1839,paper->papier-mache,1
355,1839,wood,4
356,1839,fibre,1
357,1839,wood->,3
358,1839,wood->boxwood,4
359,1839,metal->steel - possible,1
360,1839,metal,4
361,1839,wood->beech,1
362,1839,metal->,1
363,1840,wood,23
364,1840,metal,36
365,1840,fibre,4
366,1840,glass,3
367,1840,skin,1
368,1840,metal->iron,4
369,1840,metal->cast-iron,3
370,1840,wood->,11
371,1840,metal->tin,2
372,1840,metal->brass,18
373,1840,glass->,3
374,1840,synthetic->,1
375,1840,fibre->velvet,6
376,1840,bone->ivory,15
377,1840,metal->steel,7
378,1840,fibre->canvas,1
379,1840,skin->leather,4
380,1840,wood->ash,1
381,1840,metal->iron - possible,4
382,1840,wood->mahogany - possible,1
383,1840,metal->nickel-silver,1
384,1840,wood->mahogany,5
385,1840,metal->copper,1
386,1840,metal->mercury,1
387,1840,metal->silver,1
388,1840,resin->vulcanite,1
389,1840,bone - possible->ivory - possible,6
390,1840,synthetic,7
391,1840,stone - possible->mica - possible,1
392,1840,wood->ebony,1
393,1840,ceramic,2
394,1840,paper,5
395,1840,metal->,1
396,1840,metal->lead,9
397,1840,wood->pine,4
398,1841,metal->brass,2
399,1841,metal->white metal,1
400,1841,synthetic->celluloid,1
401,1841,metal->steel,1
402,1841,bone->ivory,1
403,1841,skin->leather,1
404,1841,fibre,1
405,1842,stone->granulite,1
406,1842,wood,1
407,1842,metal,4
408,1842,metal->cast-iron,1
409,1842,paper,1
410,1842,wood->,1
411,1842,metal->iron,2
412,1842,metal->brass,27
413,1842,glass,12
414,1842,fibre->,1
415,1842,wood->rosewood,1
416,1842,wood->mahogany,2
417,1842,skin->leather,2
418,1842,fibre->velvet,1
419,1843,wood->,1
420,1843,metal->iron,2
421,1843,metal->brass,2
422,1843,wood,1
423,1843,glass,1
424,1844,metal,25
425,1844,wood,6
426,1844,metal->brass,14
427,1844,metal->aluminum,1
428,1844,fibre,2
429,1844,paper,2
430,1844,metal->,1
431,1844,fibre->felt,1
432,1844,synthetic,3
433,1844,metal->cast-iron,6
434,1844,wood->walnut,1
435,1844,glass,2
436,1845,wood,9
437,1845,,1
438,1845,metal->,1
439,1845,wood->oak,1
440,1845,metal->brass,2
441,1845,glass->,1
442,1845,wood->mahogany,1
443,1845,fibre,1
444,1845,metal->copper,1
445,1845,metal->tin,1
446,1845,metal->zinc,1
447,1845,metal->gold,1
448,1845,wood->,2
449,1845,fibre->cotton,1
450,1845,fibre->felt,2
451,1845,animal->hair,1
452,1845,metal->steel - possible,5
453,1845,metal->steel,2
454,1845,metal,2
455,1846,metal->iron,1
456,1846,wood->cedar,1
457,1846,metal,1
458,1847,metal,1
459,1847,metal->brass,3
460,1847,glass->,1
461,1847,wood->,1
462,1847,fibre->velvet,1
463,1847,paper,1
464,1847,glass,1
465,1847,wood->mahogany,1
466,1848,metal->brass,3
467,1848,resin->ebonite,3
468,1848,wood,1
469,1848,wood->,1
470,1848,resin->rubber,1
471,1848,paper,1
472,1848,fibre,1
473,1849,metal->brass,3
474,1849,stone->granite,1
475,1849,wood,1
476,1849,paper,1
477,1849,fibre,1
478,1849,wood->mahogany,2
479,1849,skin->leather,1
480,1850,stone->,2
481,1850,metal->lead,2
482,1850,metal->iron,11
483,1850,stone,3
484,1850,metal->brass,47
485,1850,wood,29
486,1850,glass,29
487,1850,,14
488,1850,wood->,24
489,1850,metal->cast-iron,7
490,1850,metal->steel,21
491,1850,glass->,22
