Category,Count
,238238
Service-test equipment,274
Automotive vehicles,111
Radio,2055
Clothing & personal safety apparatus,38
Inking,19
Plumbing,37
Analog peripheral devices,2
Biochemistry,100
Veterinary medicine,58
Dentistry,552
Miscellaneous equipment,20
Long range forecasting equipment,42
Hovercraft vehicles,2
Cultivation,272
Personal gear,338
Cine miscellaneous,6
Textile working,314
Tool maintenance,127
Photogrammetry,324
Electricity,157
Image carriers,1283
Radiology,388
Volume,96
Typesetting,375
Petrochemical exploration,24
Loose-leaf binding,1
Horticulture,215
Still images,929
Photoemissive,47
Apiculture,182
Receiving,1140
Finishing general,14
Boat & shipbuilding tools & equipment,134
Food service,348
Still camera accessories,858
Land improvement,146
Cutting,18
Animal husbandry,207
Aircraft,264
Specialised,29
Vacuum tube parts,13
"Precipitation amount, rate & duration measurement",132
Motorcycle vehicles,75
Lamps-lanterns,3
Motorcycle parts,21
Atomic &nuclear,7
Pneumatics & air pressure,43
Sundials,4
Telegraphy,766
Tools & equipment,23
Adhesive binding,2
Measurement-angles,161
Fire fighting,278
Atmospheric temperature measurement,233
Archives,4144
Fire engines,20
Cycles &cycling,25
Length,312
Exterior work,39
Food processing,1443
Power sources,534
Servicing,375
Geophysics,396
Atmospheric pressure measurement,143
Hydrostatics & fluid mechanics,97
Image transfer,155
Sand glasses,7
Manned spacecraft,209
Crop handling,242
Industrial equipment,645
Sound,1430
Measurement-direction,95
Mineral extraction,42
Studio & set equipment,88
Laboratory equipment,520
Pharmacology,70
Tool storage,39
Extinguishers,59
Chemicals & medications,673
Folding,5
Cine processing,18
Dairying,746
Ephemera,9
Communications,495
Motive power,655
Test equipment,22
Digital computing devices,605
Harvesting,595
Lighting device parts,131
Services,1433
Research,1640
Crop processing,154
Observation equipment,285
Timing devices,23
Cycles& cycling,3
Drawing & measuring instruments,560
Human powered,63
Alarms,20
User site,680
Upper wind speed & direction measurement,55
Clothing,2092
Thermal & thermal conductivity,38
Duplication,74
Merchandising,1395
Light &electromagnetic radiation,1
Transmission & distribution,55
Printed specimens,4356
Telephony,1002
Sewing,14
Moving equipment,1
Surface wind speed &direction measurement,1
Digital peripheral devices,993
Vessels,70
Lifting & flying apparatus,21
Still cameras,1319
Specific gravity/density,28
Experimental,23
Chronometers,9
Navigation instruments & equipment,984
Aviation armament,164
Measurement-position,79
Surface wind speed & direction measurement,98
Laundry,419
Still processing,538
Tools & equipment-trades,4032
"Precipitation amount, rate &duration measurement",1
Instrument testing equipment,5
Lettering,91
Expedition artifacts,63
Analog computing devices,78
Aircraft instruments,679
Cine images,503
Clocks,246
Cycles & cycling,1511
Miscellaneous,5346
Radar,272
Marbling-edging,5
Vessel parts,134
Landmarks,92
Child care,60
Cottage industries,188
Lock up/imposition,31
Upper wind speed &direction measurement,1
Test-measurement equipment,374
Perforating,14
Printing vehicles,3
Electromechanical & mechanical computing devices,12
Precision tools,40
Conversion,250
Still camera parts,366
Silviculture,125
Lumbering,78
Lamp bulbs,1106
Demonstration & teaching equipment,476
Electricity & electronics,274
Space science,150
Transportation,123
Vacuum tube accessories,113
Laboratory chemicals,74
Generation,309
Cine camera accessories,179
Rounding & backing,5
Crop protection,43
Recreational vehicles,33
Accessories,136
Poultry equipment,114
Atomic & nuclear,552
Chemicals &medications,2
Crop development,1
Hunting & trapping,2
Memorabilia,15
Environment control,205
Motorcycle engineering,21
"Upper air pressure, temperature & humidity measurement",115
Feeding,1
Mechanics,8
Industrial,18
Watches,75
Automotive parts,288
Candles,3
Public transportation,62
Airport operations,133
Electronics,196
Maintenance equipment,79
Civil engineering,40
Casemaking,2
Magnetism,29
Tools &equipment-trades,3
Lighting devices,502
Temperature,39
Calculating devices,276
Atmospheric humidity measurement,70
Sunshine intensity & duration measurement,29
Barns & buildings,176
Aircraft parts,507
Visual,13
Drying,2
Furniture,9
Evaporation amount measurement,22
Office equipment,83
Medical equipment,1120
Safety equipment,5
Power devices,3
Music,348
Acoustics,63
Stitching,4
Tools-Hand,2322
Early developments,5
Tools-Machine,221
Accessory equipment,87
Hovercraft parts,1
Instruments,1433
Automotive engineering,215
Cine cameras,365
Insulators,457
Regulation &transformation,3
Telephone,99
Patient care & aids for the disabled,221
Typecasting,32
Platemaking,114
Development & maintenance equipment,168
Mineral exploration,225
Traffic control,3
Survey equipment,274
Advertising,51
Calendars,23
Measurement,721
Material storage,89
Operations,380
Television,909
Packaging,2
Petrochemical extraction,31
Toilet article,350
Lighting accessories,15
Ruling,26
Observing aids,16
Measurement-distance,153
Make-up,115
Commemorative,4416
Industrial vehicles,5
Animal powered,335
Navigation instruments &equipment,1
Earth observation,24
Regulation & transformation,93
Computer,7
Light & electromagnetic radiation,908
Military,7
Housekeeping,150
Etching/engraving,14
Padding & tableting,4
Electromechanical & mechanical peripheral devices,23
Combination instruments,13
Diving,37
Electricity &electronics,3
Transmitting,248
Rolling stock,40
Bundling,1
Models,1090
Hydrography/oceanography,6
Mass/weight,385
Cine camera parts,93
Tooling,121
Naval architecture,40
Cloud height & motion measurement,13
Paging & numbering,2
Casing-in,10
